Review,SENTIMEN
ខ្ញុំស្រលាញ់ផលិតផលនេះ។,positive
សេវាកម្មល្អណាស់។,positive
ខ្ញុំពេញចិត្តជាមួយនឹងការទិញនេះ។,positive
វាជាបទពិសោធន៍ដ៏អស្ចារ្យ។,positive
ការផ្តល់សេវាជួសជុលលឿន និងមានប្រសិទ្ធភាព។,positive
ខ្ញុំសូមណែនាំឲ្យមនុស្សផ្សេងទៀត។,positive
ផលិតផលមានគុណភាពខ្ពស់។,positive
វាមានតម្លៃសមរម្យនឹងគុណភាព។,positive
សេវាកម្មអតិថិជនល្អណាស់។,positive
បុគ្គលិករួសរាយរាក់ទាក់។,positive
ខ្ញុំមិនពេញចិត្តនឹងផលិតផលទេ។,negative
វាធ្វើអោយខ្ញុំខកចិត្តខ្លាំង។,negative
សេវាកម្មយឺតពេក។,negative
មិនសូវមានគុណភាពឡើយ។,negative
វាអស់លុយឥតប្រយោជន៍។,negative
ខ្ញុំមិននឹងទិញម្ដងទៀតទេ។,negative
ការដឹកជញ្ជូនយឺតហួសកំណត់។,negative
សេវាកម្មអតិថិជនមិនបានជួយសោះ។,negative
ខ្ញុំមានបទពិសោធន៍អាក្រក់។,negative
គ្មានការផ្តល់ជូនដូចដែលបានប្រកាស។,negative
វាមិនដំណើរការត្រឹមត្រូវទេ។,negative
ខ្ញុំមានបញ្ហាជាមួយការចូលប្រើ។,negative
បុគ្គលិកមិនជួយដោះស្រាយបញ្ហា។,negative
ផលិតផលខូចពេលទើបប្រើប្រាស់។,negative
ខ្ញុំសោកស្តាយក្នុងការទិញនេះ។,negative
វាមិនសមនឹងតម្លៃទេ។,negative
គ្មានការទាក់ទងត្រឡប់មកវិញ។,negative
ខ្ញុំមានអារម្មណ៍ថាធ្វើខុសជម្រើស។,negative
វាជាផលិតផលដែលខ្ញុំមិនណែនាំ។,negative
សេវាកម្មគឺអាក្រក់ជាងគេ។,negative
ខ្ញុំអាចរកបានកាន់តែល្អជាងនេះ។,negative
ការបញ្ជាទិញមិនត្រឹមត្រូវទេ។,negative
គ្មានអ្នកឆ្លើយតបទេ។,negative
ខ្ញុំរង់ចាំសេវាកម្មយូរណាស់។,negative
វាមិនសូវសមនឹងការរំពឹងទុក។,negative
សេវាកម្មបង្អង់ពេលវេលា។,negative
គ្មានសេវាឧបត្ថម្ភក្រោយការលក់។,negative
វាពិបាកប្រើ និងមិនមានសេចក្ដីណែនាំ។,negative
ខ្ញុំមានបទពិសោធន៍ល្អជាមួយការបញ្ជាទិញ។,positive
វាជាផលិតផលដែលគួរឱ្យសរសើរ។,positive
ខ្ញុំបានទទួលយ៉ាងលឿន និងត្រឹមត្រូវ។,positive
ការបញ្ជាទិញងាយស្រួល។,positive
ខ្ញុំជាអតិថិជនដែលតែងតែត្រឡប់មកវិញ។,positive
ការសេវាសរសើរជាខ្លាំង។,positive
ផលិតផលដើរត្រឹមត្រូវដោយគ្មានបញ្ហា។,positive
ខ្ញុំមិនប៉ានប្រមាណលើគុណភាពនេះឡើយ។,positive
វាជាជម្រើសដ៏ល្អ។,positive
ខ្ញុំពិតជាដាក់ទឹកចិត្តលើវា។,positive
