Review,SENTIMEN,predicted_sentiment
ខ្ញុំស្រលាញ់ផលិតផលនេះ។,positive,LABEL_1
សេវាកម្មល្អណាស់។,positive,LABEL_1
ខ្ញុំពេញចិត្តជាមួយនឹងការទិញនេះ។,positive,LABEL_1
វាជាបទពិសោធន៍ដ៏អស្ចារ្យ។,positive,LABEL_1
ការផ្តល់សេវាជួសជុលលឿន និងមានប្រសិទ្ធភាព។,positive,LABEL_1
ខ្ញុំសូមណែនាំឲ្យមនុស្សផ្សេងទៀត។,positive,LABEL_1
ផលិតផលមានគុណភាពខ្ពស់។,positive,LABEL_1
វាមានតម្លៃសមរម្យនឹងគុណភាព។,positive,LABEL_1
សេវាកម្មអតិថិជនល្អណាស់។,positive,LABEL_1
បុគ្គលិករួសរាយរាក់ទាក់។,positive,LABEL_1
ខ្ញុំមិនពេញចិត្តនឹងផលិតផលទេ។,negative,LABEL_0
វាធ្វើអោយខ្ញុំខកចិត្តខ្លាំង។,negative,LABEL_0
សេវាកម្មយឺតពេក។,negative,LABEL_0
មិនសូវមានគុណភាពឡើយ។,negative,LABEL_0
វាអស់លុយឥតប្រយោជន៍។,negative,LABEL_0
ខ្ញុំមិននឹងទិញម្ដងទៀតទេ។,negative,LABEL_0
ការដឹកជញ្ជូនយឺតហួសកំណត់។,negative,LABEL_0
សេវាកម្មអតិថិជនមិនបានជួយសោះ។,negative,LABEL_0
ខ្ញុំមានបទពិសោធន៍អាក្រក់។,negative,LABEL_0
គ្មានការផ្តល់ជូនដូចដែលបានប្រកាស។,negative,LABEL_0
វាមិនដំណើរការត្រឹមត្រូវទេ។,negative,LABEL_0
ខ្ញុំមានបញ្ហាជាមួយការចូលប្រើ។,negative,LABEL_0
បុគ្គលិកមិនជួយដោះស្រាយបញ្ហា។,negative,LABEL_0
ផលិតផលខូចពេលទើបប្រើប្រាស់។,negative,LABEL_0
ខ្ញុំសោកស្តាយក្នុងការទិញនេះ។,negative,LABEL_0
វាមិនសមនឹងតម្លៃទេ។,negative,LABEL_0
គ្មានការទាក់ទងត្រឡប់មកវិញ។,negative,LABEL_0
ខ្ញុំមានអារម្មណ៍ថាធ្វើខុសជម្រើស។,negative,LABEL_0
វាជាផលិតផលដែលខ្ញុំមិនណែនាំ។,negative,LABEL_0
សេវាកម្មគឺអាក្រក់ជាងគេ។,negative,LABEL_0
ខ្ញុំអាចរកបានកាន់តែល្អជាងនេះ។,negative,LABEL_1
ការបញ្ជាទិញមិនត្រឹមត្រូវទេ។,negative,LABEL_0
គ្មានអ្នកឆ្លើយតបទេ។,negative,LABEL_0
ខ្ញុំរង់ចាំសេវាកម្មយូរណាស់។,negative,LABEL_0
វាមិនសូវសមនឹងការរំពឹងទុក។,negative,LABEL_0
សេវាកម្មបង្អង់ពេលវេលា។,negative,LABEL_1
គ្មានសេវាឧបត្ថម្ភក្រោយការលក់។,negative,LABEL_0
វាពិបាកប្រើ និងមិនមានសេចក្ដីណែនាំ។,negative,LABEL_0
ខ្ញុំមានបទពិសោធន៍ល្អជាមួយការបញ្ជាទិញ។,positive,LABEL_1
វាជាផលិតផលដែលគួរឱ្យសរសើរ។,positive,LABEL_1
ខ្ញុំបានទទួលយ៉ាងលឿន និងត្រឹមត្រូវ។,positive,LABEL_1
ការបញ្ជាទិញងាយស្រួល។,positive,LABEL_1
ខ្ញុំជាអតិថិជនដែលតែងតែត្រឡប់មកវិញ។,positive,LABEL_1
ការសេវាសរសើរជាខ្លាំង។,positive,LABEL_1
ផលិតផលដើរត្រឹមត្រូវដោយគ្មានបញ្ហា។,positive,LABEL_1
ខ្ញុំមិនប៉ានប្រមាណលើគុណភាពនេះឡើយ។,positive,LABEL_0
វាជាជម្រើសដ៏ល្អ។,positive,LABEL_1
ខ្ញុំពិតជាដាក់ទឹកចិត្តលើវា។,positive,LABEL_1
